Percentage served,Time in ms
0,1.872
1,3.234
2,3.840
3,4.308
4,4.937
5,5.359
6,5.820
7,5.929
8,5.983
9,6.012
10,6.035
11,6.047
12,6.065
13,6.079
14,6.107
15,6.116
16,6.141
17,6.151
18,6.161
19,6.172
20,6.192
21,6.208
22,6.231
23,6.255
24,6.280
25,6.297
26,6.327
27,6.345
28,6.370
29,6.384
30,6.415
31,6.437
32,6.466
33,6.493
34,6.536
35,6.559
36,6.584
37,6.616
38,6.651
39,6.687
40,6.709
41,6.727
42,6.743
43,6.759
44,6.774
45,6.787
46,6.798
47,6.806
48,6.826
49,6.832
50,6.846
51,6.857
52,6.872
53,6.904
54,6.926
55,6.949
56,6.964
57,6.990
58,7.016
59,7.035
60,7.063
61,7.086
62,7.105
63,7.126
64,7.145
65,7.162
66,7.177
67,7.187
68,7.213
69,7.224
70,7.254
71,7.281
72,7.310
73,7.322
74,7.338
75,7.350
76,7.375
77,7.400
78,7.410
79,7.428
80,7.443
81,7.462
82,7.482
83,7.507
84,7.538
85,7.574
86,7.639
87,7.688
88,7.727
89,8.267
90,17.975
91,19.607
92,20.074
93,20.457
94,20.658
95,20.941
96,21.019
97,21.136
98,21.184
99,21.308
100,22.903
