Percentage served,Time in ms
0,1.641
1,8.421
2,21.429
3,25.086
4,28.233
5,31.725
6,35.130
7,38.543
8,39.363
9,40.425
10,41.138
11,41.579
12,41.892
13,42.178
14,42.479
15,43.046
16,43.646
17,44.085
18,44.484
19,44.881
20,45.407
21,45.783
22,46.112
23,46.675
24,47.093
25,47.543
26,47.863
27,48.157
28,48.332
29,48.725
30,48.948
31,49.050
32,49.223
33,49.350
34,49.498
35,49.609
36,49.684
37,49.792
38,49.921
39,50.009
40,50.290
41,50.369
42,50.489
43,50.540
44,50.603
45,50.701
46,50.827
47,50.881
48,50.955
49,51.056
50,51.138
51,51.260
52,51.335
53,51.491
54,51.673
55,51.749
56,51.884
57,51.972
58,52.083
59,52.232
60,52.348
61,52.396
62,52.544
63,52.630
64,52.743
65,52.869
66,53.032
67,53.213
68,53.420
69,53.540
70,53.757
71,54.096
72,54.395
73,54.678
74,54.927
75,55.130
76,55.377
77,55.678
78,55.919
79,56.071
80,56.326
81,56.634
82,57.456
83,58.074
84,58.331
85,58.666
86,59.693
87,60.342
88,60.733
89,61.197
90,61.923
91,62.627
92,63.198
93,63.728
94,64.861
95,65.236
96,65.567
97,66.147
98,66.560
99,66.985
100,68.791
